Company,Location,Phone Number,Fax,Website,Description,Tags
Advokat Johan Hedberg AB,"Kungsholmstorg 16, 112 21, Stockholm, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 8 611 39 00,+46 8 611 19 42,https://www.advokathedberg.se/,Advokat Johan Hedberg sysslar främst med brottmål och utlänningsrätt.,"Lawyers, Advokat johan hedberg, Arvskifte, Bouppteckning, Bodelning, Skilsmässa, Tvist, Law firms"
Advokatfirman Grönstedt AB Notarius Publicus,"Villagatan 18, 114 32, Stockholm, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 8 654 36 00,+46 8 654 36 10,https://www.notariuspublicus.se/,"Notarius Publicus i Stockholm bestyrker underskrifter, översättningar, adoptioner, bolagshandlingar, kopior, köpehandlingar, samt utfärdar apostille.","Lawyers, Solicitors, Köpehandlingar, Underskrift, Notarie, Kopior, Bolagshandlingar, Apostille, Notarius publicus, Adoption, Show more, Show more"
Handels & Jurist Inkasso Hojab,"Solnavägen 102, 169 51 Solna, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 8 735 29 99,+46 8 735 29 95,https://www.hojab.se/,"Handels- & Jurist Inkasso har sitt ursprung sedan mitten av 1930-talet. Handels- & Jurist Inkasso AB har funnits sedan september 1970. Den 14 mars 1989 registrerades särskilt företagsnamn (fd. bifirma) HOJAB Parkeringsservice. Svea Inkasso AB förvärvade år 1993 Handels- & Jurist Inkasso AB av Gota. Genom fusion den 13 mars 1997 blev Handels- & Jurist Inkasso och HOJAB Parkeringsservice särskilda företagsnamn (fd bifirmor) till Svea Inkasso AB.

Handels- & Jurist Inkasso och HOJAB Parkeringsservice är specialiserade på uppföljning och indrivning av kontrollavgifter för olovlig parkering. Som marknadsledande när det gäller administration av kontrollavgifter har vi en väl fungerande hantering av registrering, uppföljning och statistik samt betalningsrutiner och inkasso.  
Show more


Handels- & Jurist Inkasso och HOJAB Parkeringsservice samarbetar med kommunala och privata parkeringsbolag i hela Sverige.

Handels- & Jurist Inkasso AB var remissinstans i samband med utarbetandet av Lag om kontrollavgift vid olovlig parkering.","Banks, Credit Unions, Lawyers, handels adress, handels jurist, handels inkasso, handels- & jurist inkasso ab, handels juristinkasso, handels och juristinkasso kontakt, handels jurist inkasso logga in, handel jurist inkasso, Show more, Show more"
Notarius Publicus i Göteborg,"Drottninggatan 38, 411 07, Gothenburg, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 31 799 10 90,+46 31 799 10 99,https://www.notariuspublicusgbg.se/,"Notaries Public are appointed by the County Administrative Board in accordance with the Notary Public Ordinance (1982:327). Axel Weibull is appointed as Notary Public and Shervin Shikhan and Anna Ramsay are appointed as deputy Notary Public. The most commom services Notary Public performs are:

• verifying signatures, copies, translations, and other data concerning the content in various documents,

• issue ‘apostilles’ (a certificate under Article 6, first paragraph of the Hague Convention of 5 October 1961 regarding abolishing the requirement of legalisation for foreign public documents). Notary Public may also inter alia:

• witness when storage rooms are opened or closed, or when seals are put in place or are broken,

• supervise lottery draws,

• confirm that  
Show more
someone is qualified to do certain things, or that someone has the competence or capacity to represent someone else.

Please note that we do not accept protest of a bill (Sw. växelprotester). For such services please contact the Swedish Enforcement Agency.",Lawyers
Advokat Thelma Carvenius AB,"Rademachergatan 9, 632 20, Eskilstuna, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 16 10 90 70,,https://www.advcarvenius.se/,Advokatfirman Thelma Carvenius. En personlig byrå med stort engagemang för klienterna.,"Lawyers, Solicitors, Försvarare Eskilstuna, Lvu Advokat, Försvarsadvokat Eskilstuna, Brottmålsadvokat Eskilstuna, Jurist Eskilstuna, Särskild företrädare för barn, Lvu- och lpt-mål, Fransktalande advokatarbetsrätt, Show more, Show more"
Advokat Magnus Lundh AB,"Stortorget 29, 21134, Malmo, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 40 120 207,,https://www.treadvokater.se/,"Tre Advokater, som startade sin verksamhet 1995, är en advokatbyrå med en i huvudsak humanjuridisk inriktning, vilket innebär att vi oftast biträder enskilda personer. Vi är specialiserade inom områdena brottmål, familjerätt, socialrätt och migrationsrätt. Vårt kontor är beläget vid Stortorget i centrala Malmö (ca 200 meter från centralstationen.","Lawyers, Advokat Migrationsrätt, Advokat Migrationsrätt Malmö, Advokat Malmø, Tre Advokater Malmö, Magnus Lundh Advokat, Magnus Lundh, Advokat Testamente Malmö, Michael runersten., Mikael runersten, Show more, Show more"
Advoca Advokatbyrå AB,"Ämbetsgatan 4 B, Box 21 77621, Hedemora, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 225 127 57,,https://www.advoca.se/,Advoca Advokatbyrå är en modern advokatbyrå med fokus på klientens behov som drivs av advokaten Jannica Jansdotter.,"Lawyers, Law firms"
Advokat Dennis Harding,"Storgatan 1, 15172, Sodertalje, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 8 550 306 99,,https://www.harding-partner.se/,"Advokaterna Harding & Partners verksamhetsområden är bland annat allmän praktik, familjerätt, brottmål, målsägarbiträde, LVU, LVM, LPT samt asylrätt.","Lawyers, Notarius Publicus Södertälje, Dennis Harding"
Appeal Advokatbyrå (Appeal Law Firm),"Åkerbyvägen 240, Täby, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 (0)8 83 00 03,,https://www.appealadvokat.se/,Appeal Law Firm is a modern business law firm. Our vision is that our team will assist you as a client with professional legal advice within the firm's areas of expertise and at the same time provide quality service.,"Lawyers, Business Law, Employment Law, Environmental Law, Personal Injury Law, Property Law, Appeal Advokatbyrå, Appeal Law Firm, Appeal, Lawyer, Show more, Show more"
DLA Piper Sweden,"Stockholms Lan, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 8 701 78 00,,https://sweden.dlapiper.com/,DLA Piper is an international legal practice.,"Lawyers, Personal Injury Law, Law enforcement"
"Fonus, Ekonomisk Förening","Axel Olsons Gata 6, 30227, Halmstad, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 35 17 68 44,,https://www.fonus.se/,"Fonus är en folkrörelseägd koncern och kooperativ förening som etablerat sig i Sverige och Norge. Fonus grundades 1945 och är Sveriges största företag i begravningsbranschen. Huvudkontoret ligger i Stockholm, kistfabriken ligger i Falköping. Fonus ombesörjer cirka 30 000 begravningar per år. (Cirka 90 000 avlider i Sverige per år.)","Legal Services, Lawyers"
Fondia,"Kungsgatan 56 SE-11122 Stockholm Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 8 578 989 00,,https://fondia.com/se/sv,"Founded in 2004, Fondia is a full-service business law firm and a pioneer in exploiting new types of service models and technologies. Fondia offers customers pre-packaged fixed-priced service concepts as well as new ways to purchase case-based legal services and utilize digital environments in its service models. Strong values guide us today and tomorrow – we work with integrity and rely on each other. Fondia already has more than two hundred legal department partners and more than 160 employees.","Lawyers, Legal Services, Expert Witnesses, legal counseling, legal counseling for business"
Juristbyrå Jansson & Lundén,"Drottninggatan 35, 411 14, Gothenburg, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",+46 31 789 41 90,,https://www.janssonnorin.se/,"Jurist Göteborg Jansson & Lundén är en juristbyrå i Göteborg med den lilla byråns personlighet, engagemang och närhet, men med en hög grad av kompetens och professionalitet.","Lawyers, Juridisk-byrå, Jurist-göteborg, Avtal, Juridisk rådgivning, Jurist"
Nymans Advokatbyrå AB,"Skvallertorget 1, Box 24, 824 21 Hudiksvall, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",0650 - 10063,Nymans Advokatbyrå AB,https://www.xn--nymansadvokatbyr-sob.se/,"Advokatbyrå med allmän inriktning, främst brottmål, fel i fastighet och personskador.","Lawyers, Krokström, Fel i fastighet, Krokströms advokatbyrå, Whiplash, Vårdnad, Personskador, Familjerätt, Brottmål, Jurist, Show more, Show more"
Advokatfirman Bosten,"Birger Jarlsg. 55, 11145, Stockholm, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",08 - 242480,,https://www.bosten.se/,Advokatfirma i Stockholm som innehas av advokat Jonas Bosten. Advokatbyrån biträder vid de flesta typer av tvister och förhandlingar. Välkommen!,"Lawyers, Law firms"
Advokatbyrå Rolf Matsson,"Brunnsgatan 14, 61132, Nykoping, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",0155 - 213800,,https://www.matsson.nu/,"Advokatbyrån Rolf Matsson erbjuder juridiskt biträde samt rådgivning i rättsliga angelägenheter. Allmän praktik. Vi arbetar t.ex. med: skilsmässor, familjerätt, boutredning och arvsrätt, skadeståndsrätt, fastighetsrätt, affärsjuridik, brottmål, arbetsrätt, hyresrätt, avtalsrätt, övriga tvister.","Lawyers, Tvister, Avtalsrätt, Hyresavtal, Arbetsrätt, Affärsjuridik, Fastighetsrätt, Skadeståndsrätt, Arvsrätt, Boutredning, Show more, Show more"
Advokatfirman Lena B. Larsson,"Skoglösavägen 25, 29193 ÖNNESTAD, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",044 - 217260,,https://www.advokatlena.se/,Advokat Lena med kontor i Höör och Kristianstad,"Lawyers, Allmänpraktik, Brottsoffer, Personskador, Affärsjuridik, Fastighetsrätt, Rättsskydd, Rättshjälp, Advokat, Law firms"
Advokatfirman Bodén AB,"Storgatan 6, Box 115 89123, Ornskoldsvik, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",0660 - 211048,,https://www.advokatfirmanboden.se/,Advokatfirman Bodén har sitt säte i Örnsköldsvik. Med en bred Med en bred juridisk kompetens arbetar byrån med att företräda privatpersoner i allmänjuridiska frågor och företag i affärsmässiga spörsmål. Härutöver arbetar vi i stor utsträckning med obeståndsfrågor inkl. konkursförvaltning. Avokatfirma,"Lawyers, Law firms"
Advokat Jan Lindskog,"Fristadstorget 3, 63220, Eskilstuna, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",016 - 517590,,https://www.obergheijne.se/,"Öberg & Heijne Advokatbyrå med anor från 1920-talet är verksam inom svensk och internationell affärsjuridik och familjerätt. Advokatbyrån biträder såväl små som medelstora företag även som stat och kommun, kommunala bolag, banker, försäkringsbolag, andra finansiella institutioner och privatpersoner.","Lawyers, Heijne, Öberg, Affärsjuridik, Advokatbyrå, Familjerätt, Jurist, Advokat, Law firms"
Advokatfirman ReklamJuridik i Sverige AB,"Stora Nygatan 10-12, Box 2120 10313, Stockholm, Sweden
VIEW MAP GOOGLE MAPS DIRECTIONS",08 - 6117515,,https://www.reklamjuridik.se/,"Juridiska konsultationer åt reklambyråer och marknadsavdelningar, Svar Direkt, varumärkesbevakning, ombud vid tvister och varumärkesregistreringar, rättsutredningar, granskning och upprättande av avtal inom reklamjuridik och sponsring.","Lawyers, Verkshöjd, Varumärkesregistreringar, Varumärkeslagen, Varumärkesintrång, Varumärkesgranskning, Varumärkesbevakning, Upphovsrättslagen, Upphovsrättsintrång, Upphovsrätt, Show more, Show more"
